month	price
2025-01	5.055
2025-02	4.264
2025-03	3.742
2025-04	3.576
2025-05	3.237
2025-06	2.977
2025-07	3.116
2025-08	3.347
2025-09	3.742
2025-10	3.718
2025-11	4.42
2025-12	4.857
